"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","original","men_normal_2676","men_normal_2691","menLCCstage1_270","menLCCstage1_507"
"4275",280.08990494823,280.08990494823,280.08990494823,31.96099878,31.96099878,31.96099878,1,1,41439.7338248293,17157.6528967473,8150.65694511033,10715.2194703994
"4276",280.149749755859,280.149749755859,280.149749755859,361.6470048,361.6470048,361.6470048,1,1,424705.846551296,179993.893804197,21274.8923719019,19617.4201312127
"4277",280.172276112027,280.171479467193,280.173072756861,378.6260034,378.6260034,378.6260034,2,2,249866.683334462,160164.623510401,19771.2404022,14845.8655555555
"4278",280.234940651755,280.234940651755,280.234940651755,436.9400022,436.9400022,436.9400022,1,1,82030.9085376004,17016.22694268,2447.28742048,9911.90424291998
"4279",280.262786865234,280.262786865234,280.262786865234,319.0550136,319.0550136,319.0550136,2,2,143763.068332798,59161.6764532998,11537.9512602354,14616.8552319001
"4280",280.298270788469,280.298270788469,280.298270788469,410.141001,410.141001,410.141001,1,1,31489.1644481249,19026.4686902608,1341.38019224347,954.625003199997
"4281",280.299756165553,280.299756165553,280.299756165553,403.5379884,403.5379884,403.5379884,1,1,26904.033910725,12284.5358147,962.800396017398,692.028955700001
"4282",280.650151623112,280.650151623112,280.650151623112,361.6470048,361.6470048,361.6470048,1,1,79390.1811807142,36311.8323998245,4084.96250789999,4273.20103837504
"4283",280.656860351562,280.656860351562,280.656860351562,388.2159948,388.0589964,388.3759974,4,4,4168753.65063089,2159925.97229237,198778.937155,177341.805310285
"4284",280.656542922047,280.656241916694,280.657467726202,380.8269882,380.8259868,381.141987,3,3,403212.732259494,182916.868372115,20297.556867323,18337.9731300001
"4285",280.656860351562,280.655503202368,280.656860351562,393.161001,392.218008,393.4759998,3,3,1040777.51269819,736470.465413255,47531.7978706486,90271.8943655812
"4286",280.669741804243,280.669741804243,280.669741804243,378.312006,378.312006,378.312006,1,1,58319.7504267002,47488.1832669334,4568.89263066668,4712.59420893334
"4287",280.824859619141,280.824859619141,280.824859619141,388.0589964,388.0589964,388.0589964,1,1,207691.213481673,93597.0192890185,1209.60891257143,720.396567999996
"4288",280.826888932204,280.826888932204,280.826888932204,393.4759998,393.4759998,393.4759998,1,1,37291.7589518116,9484.84444492946,16.979606775,0
"4289",280.828277587891,280.828277587891,280.828277587891,381.141987,381.141987,381.141987,1,1,8698.49705323985,2367.6462822857,0,0
"4290",281.157562255859,281.157276527044,281.157562255859,388.3729932,388.0589964,388.3729932,3,3,1030700.64629722,498005.887922402,52438.9203000003,49397.4294004364
"4291",281.157562255859,281.157562255859,281.157562255859,392.2190094,392.2190094,392.2190094,1,1,348186.852350721,144722.132991119,11642.864355072,22601.329245456
"4292",281.15845229861,281.157546230406,281.159358366813,380.8269882,380.8269882,380.8269882,2,2,110770.944452228,48655.0734403842,6331.41311529995,5787.82105246151
"4293",281.246891067668,281.246765136719,281.247016998617,461.0649921,460.9079934,461.2219908,2,2,205206.015779295,119333.3938116,20452.41,29116.9266666665
"4294",281.664570138129,281.662798444846,281.665588378906,423.4205103,423.4190082,423.7330056,4,4,1950583.93326443,2158471.61308145,285919.657694999,243090.403342918
"4295",281.663864135742,281.662139892578,281.665588378906,414.2285013,414.2280006,414.229002,2,2,232425.829604608,333818.5512802,24425.396567208,19669.3673103232
"4296",281.66344947602,281.66344947602,281.66344947602,392.218008,392.218008,392.218008,1,1,71786.5068335999,36856.471548,219.142633613163,4726.903792
"4297",281.833862304688,281.833862304688,281.833862304688,423.5760069,423.4190082,423.7330056,2,2,88158.5640904357,95213.590508672,2283.173888,1489.41336744544
"4298",282.117447556058,282.116112298866,282.11878281325,39.66449976,39.50700042,39.8219991,2,2,48410.7396073477,74011.9812231507,17043.6018371036,17240.8762983828
"4299",282.142186822066,282.141861605711,282.142512038421,433.6379955,433.4809968,433.7949942,2,2,44990.738613881,35531.6222099999,5932.55239197778,4337.87828459997
"4300",282.166108810957,282.164837853417,282.167175292969,423.4205103,423.1040094,423.7330056,4,4,477026.746500772,531298.029305017,82272.8187981858,70042.5185607511
"4301",282.165466308594,282.163757324219,282.167175292969,414.0715026,413.9140032,414.229002,2,2,62865.3907090559,90603.0998374319,6861.20504624998,5807.59409812503
"4302",282.22216796875,282.22216796875,282.22216796875,467.3540067,467.1960066,467.8290084,4,4,375829.240014273,442711.13714412,152701.58552679,174801.274102621
"4303",282.279376147228,282.277774858487,282.280609130859,456.9774912,456.505995,457.1379948,4,4,117589.896416571,146370.280686631,147690.105353113,125900.362610364
"4304",282.280609130859,282.280609130859,282.280609130859,344.5959948,344.5949934,344.5969962,2,2,1932248.48876647,743960.663057796,207767.476204489,235862.22753652
"4305",282.280609130859,282.280609130859,282.280609130859,342.3945093,342.3940086,342.39501,2,2,2327881.80301234,895299.114444445,208276.996479517,235899.966048215
"4306",282.278229769874,282.277191162109,282.279268377638,376.7394879,376.7389872,376.7399886,2,2,72549.2459839555,75596.5322222223,9852.08240999991,6148.9824272308
"4307",282.449096679688,282.449096679688,282.449096679688,342.39501,342.39501,342.39501,1,1,105969.411445612,21726.0357429374,194.340284639999,451.163598200003
"4308",282.651645976422,282.651645976422,282.651645976422,388.0589964,388.0589964,388.0589964,1,1,58112.5109101093,32337.9998456728,3973.44107828574,4043.78521553407
